"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV230",0,0,0,0,0,0,0,18,0,0,59,0,0,0,108,0,0,0
"ASV231",11,0,0,0,0,0,0,50,87,0,0,0,0,0,29,0,0,5
"ASV232",0,0,0,0,35,60,0,0,0,0,0,0,0,0,0,0,0,98
"ASV234",0,0,0,0,0,0,0,0,82,0,110,0,0,0,0,0,0,0
"ASV235",0,0,0,0,0,0,0,23,168,0,0,0,0,0,0,0,0,0
"ASV236",0,0,0,0,0,0,0,0,0,31,41,18,19,0,0,24,23,0
"ASV237",0,0,3,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
"ASV238",0,0,0,0,0,36,25,0,0,0,0,0,0,0,0,0,0,122
"ASV241",6,0,11,0,0,0,0,0,41,17,0,6,12,0,0,52,10,0
"ASV242",0,0,11,0,0,0,9,0,131,0,0,0,0,0,30,0,0,0
"ASV243",0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0
"ASV244",0,0,0,0,0,33,0,0,0,0,0,0,0,68,0,0,0,78
"ASV245",0,0,0,71,11,11,0,0,0,0,0,0,0,0,0,0,0,85
"ASV247",0,0,0,0,0,0,0,7,0,0,97,0,0,27,0,0,0,46
"ASV248",6,0,0,0,28,85,0,0,0,0,0,0,0,0,0,0,0,57
"ASV250",15,0,0,0,83,8,0,13,0,0,0,0,0,0,0,0,0,56
"ASV253",13,12,0,17,0,21,0,0,36,0,74,0,0,0,0,0,0,0
"ASV254",0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,162
"ASV256",0,0,0,0,12,115,0,0,0,0,0,0,0,0,0,0,0,44
"ASV258",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"ASV260",0,22,0,0,25,35,0,0,0,0,51,0,0,33,0,0,0,0
"ASV261",0,0,0,0,0,0,0,0,89,0,0,0,0,0,63,0,0,0
"ASV263",0,0,0,0,0,0,0,0,0,0,37,0,0,0,69,58,0,0
"ASV264",101,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,38
"ASV265",0,0,0,0,0,0,0,21,142,0,0,0,0,0,0,0,0,0
"ASV267",5,0,0,47,24,25,0,0,0,0,0,0,0,14,0,0,0,47
"ASV268",0,52,0,0,45,28,0,0,0,0,0,0,0,0,0,0,0,37
"ASV270",0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,101,0
"ASV273",0,0,0,0,0,0,0,17,60,0,0,0,0,0,0,0,83,0
"ASV274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"ASV278",71,0,0,0,27,61,0,0,0,0,0,0,0,0,0,0,0,0
"ASV279",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,148
"ASV280",0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,99
"ASV281",28,54,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV282",26,0,0,0,55,0,0,0,0,0,0,0,0,54,0,0,0,20
"ASV285",0,0,0,0,0,0,0,30,47,0,0,0,0,0,0,0,0,69
"ASV286",0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,29
"ASV287",0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,95
"ASV289",33,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV291",0,0,0,0,0,0,0,0,0,11,0,9,14,0,0,96,8,0
"ASV293",0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,43
"ASV295",0,0,0,0,0,0,0,0,92,0,0,0,0,0,9,0,0,45
"ASV296",0,0,0,0,0,0,0,0,91,0,0,0,0,0,55,0,0,0
"ASV297",0,29,0,0,0,22,0,0,0,0,0,0,0,22,29,0,0,0
"ASV299",0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
"ASV300",0,0,0,0,0,0,19,0,0,0,85,0,0,0,0,0,0,39
"ASV301",51,14,16,10,16,35,0,0,0,0,0,0,0,0,0,0,0,0
"ASV302",33,21,25,8,18,28,0,9,0,0,0,0,0,0,0,0,0,0
"ASV303",23,0,16,21,0,0,0,19,0,0,39,0,0,0,0,0,0,15
"ASV304",0,0,0,0,25,2,0,0,6,0,54,0,0,0,33,0,0,0
"ASV306",6,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,80
"ASV308",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,113
"ASV309",18,0,21,11,0,12,0,0,0,0,74,0,0,0,0,0,0,0
"ASV310",0,0,0,0,0,18,0,0,0,0,118,0,0,0,0,0,0,0
"ASV311",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,120
"ASV312",0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,54
"ASV318",0,0,0,0,39,17,0,0,0,0,0,0,0,77,0,0,0,0
"ASV319",9,20,11,13,17,14,0,0,0,0,0,0,0,0,0,0,0,48
"ASV321",0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,43
"ASV324",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,119,0,0
"ASV325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,16
"ASV326",31,0,0,0,22,0,0,0,64,0,0,0,0,0,0,0,0,13
"ASV327",0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"ASV328",0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,72
"ASV331",14,11,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,75
"ASV332",0,0,0,0,65,45,0,0,0,0,0,0,0,0,0,0,0,17
"ASV333",0,0,0,0,0,0,52,0,0,0,0,0,0,23,0,0,0,37
"ASV334",0,0,0,0,0,0,0,37,90,0,0,0,0,0,0,0,0,0
"ASV337",35,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV338",0,0,0,0,0,0,0,18,108,0,0,0,0,0,0,0,0,0
"ASV339",0,0,0,0,0,0,0,16,0,0,31,0,0,0,47,0,26,6
"ASV340",0,0,0,0,22,0,0,0,37,0,0,0,0,0,0,0,65,0
"ASV341",0,0,0,0,0,50,0,0,74,0,0,0,0,0,0,0,0,0
"ASV342",0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0
"ASV343",0,0,12,0,0,0,0,16,18,0,0,0,0,15,0,0,0,62
"ASV344",0,0,0,0,0,0,72,0,0,0,51,0,0,0,0,0,0,0
"ASV347",0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,28
"ASV348",0,4,0,0,0,0,0,0,88,0,0,0,0,29,0,0,0,0
"ASV349",0,17,9,0,26,0,0,27,0,0,0,0,0,0,0,0,0,41
"ASV351",0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,30
"ASV352",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,101
"ASV354",0,0,5,0,0,0,0,0,0,0,34,0,0,13,0,0,0,64
"ASV355",0,0,0,0,0,0,66,0,0,0,50,0,0,0,0,0,0,0
"ASV356",0,0,0,0,0,0,21,0,47,0,0,48,0,0,0,0,0,0
"ASV358",0,0,11,0,0,0,0,0,91,0,0,0,0,0,13,0,0,0
"ASV359",0,0,0,0,0,0,49,0,0,0,0,0,0,0,28,0,30,0
"ASV361",0,0,0,0,0,26,9,22,0,0,16,0,0,0,0,0,0,40
"ASV363",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,72
"ASV364",0,0,0,0,0,0,53,0,59,0,0,0,0,0,0,0,0,0
"ASV370",0,0,0,0,0,0,0,35,52,0,0,0,0,22,0,0,0,0
"ASV375",32,0,30,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"ASV376",0,12,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,23
"ASV377",0,0,0,0,0,0,47,13,47,0,0,0,0,0,0,0,0,0
"ASV378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"ASV381",0,0,0,0,0,20,0,4,64,0,0,0,0,0,0,0,0,17
"ASV384",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"ASV386",0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,21,0,0
"ASV387",0,0,0,0,0,0,0,0,0,0,17,0,0,17,70,0,0,0
"ASV388",0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0
