"","NPCR-Txbird2","NXC-Txbird1","NXC-Txbird2","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272133628","TX272136652","TX272136690","TX272136690-mb","TX272136698","TX272136698-mb","TX272136699","TX272136699-mb","TX279103530","TX279103546","TX279103554","TX279103554-mb","TX279103561","TX279103567","TX279103583","TX279103583-mb","TX279103586","TX279103586-mb","TX281118809","TX281118812","TX281118817","TX281118817-mb","TX281118835"
"ASV86",0,0,0,0,0,0,0,0,0,0,0,434,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"ASV87",0,0,0,0,185,91,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
"ASV88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0
"ASV89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0
"ASV90",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,117,44,0,0,0,0,0,0,37,0,244,0,0,25,0,0,0
"ASV91",0,0,0,0,55,0,0,268,51,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"ASV92",15,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,32,0,198,0,0,0,0,0,25,111,0,0,13
"ASV93",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0
"ASV94",0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,96,0,0,0,133,0,0,0,94,0,30,7,0,0,0,0,0
"ASV95",0,0,0,0,0,0,0,0,0,0,0,420,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV96",0,0,32,0,0,0,0,0,0,40,0,0,0,0,0,0,0,79,37,0,0,55,81,0,0,0,0,52,48,0,0,6
"ASV97",0,0,0,0,13,0,0,45,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"ASV98",0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV99",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0
"ASV100",0,0,35,12,0,0,0,11,0,0,0,29,0,36,0,108,13,0,0,49,0,0,0,0,0,14,0,0,0,0,0,111
"ASV101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV102",0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,92,49,0,0,42,77,0,0,0,0,41,50,0,0,0
"ASV103",0,0,0,27,25,54,27,23,46,0,0,0,0,0,0,0,23,0,0,78,0,0,0,0,0,0,0,0,0,0,0,100
"ASV104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0
"ASV105",0,0,0,18,43,28,0,30,71,0,0,0,0,0,0,82,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,44
"ASV106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0
"ASV107",0,0,0,0,0,0,0,0,0,0,0,29,0,28,0,59,0,0,0,105,0,144,0,0,0,0,0,24,0,0,0,0
"ASV108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0
"ASV109",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,69,0,0,123,0,0,64
"ASV110",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,72,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,34
"ASV111",0,0,0,0,0,0,0,0,42,0,0,0,0,308,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV112",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,221,0,44,22,0,0,0,0,0
"ASV113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,168,31,0,0,0,31,30,0,0,0,0,0,0,0,0,0
"ASV114",0,0,0,44,45,40,25,44,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,37
"ASV115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0
"ASV116",0,0,55,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,64,79,0,0,0,0,48
"ASV117",0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,59,27,0,0,37,73,0,0,0,0,34,59,0,0,5
"ASV118",0,0,0,0,0,0,0,0,0,0,0,0,0,268,16,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV119",51,0,32,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,48,0,20,0,0,0,6
"ASV120",0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,76,0,0,0,0,0,86,47,0,0,0
"ASV121",0,0,0,21,44,0,0,0,8,0,0,0,0,0,0,103,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,147
"ASV122",0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0
"ASV123",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
"ASV124",0,0,0,0,0,0,0,0,51,5,0,17,0,35,0,0,0,0,0,0,0,0,0,45,0,16,0,0,0,3,0,168
"ASV125",305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"ASV126",0,0,0,0,0,0,0,0,0,0,0,301,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"ASV127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV128",0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"ASV129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,111,0,0,0,0,0,0,132,0,0,0
"ASV130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,51,0,26,71,0,0,14,0,30,38,0,0,0
"ASV131",0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV132",0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,39,19,0,0,0,0,50
"ASV133",0,0,0,0,0,0,0,33,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
"ASV134",0,0,0,0,238,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
"ASV135",0,0,0,0,11,0,0,0,30,0,0,0,0,0,0,55,35,0,0,69,0,0,0,0,0,0,0,0,0,0,0,113
"ASV136",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,171,0,0,0
"ASV137",0,0,0,18,0,0,0,79,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,79
"ASV138",0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV139",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,127,32,0,0,0,0,0,0,13,0,26,0,0,0,0,0,79
"ASV140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0
"ASV141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0
"ASV142",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,115,138,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"ASV143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,43,0,46,0,0,27,49,0,24,0,20,0,0,0,0
"ASV144",12,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,27,0,0,0,91,38,0,0,10
"ASV145",0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0
"ASV146",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV147",0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0
"ASV150",0,0,81,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,99,0,0,0,18,0,7,0,0,69,0,0,0
"ASV151",0,0,0,11,10,18,0,0,14,0,0,0,0,63,0,106,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,46
"ASV152",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,25,0,0,0,0,0,65
"ASV153",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,52,25,0,0,34,58,0,0,0,0,33,48,0,0,0
"ASV154",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,37,0,32,0,0,0,0,0,165
